Step	Command	Status	Notes
safety	grok-safety-check.sh	PASS	OK
fmt	cargo fmt --check	PARTIAL	diffs in main.rs (cosmetic R0 env line); captured
compiler_risc0	cargo test -p anubis-compiler risc0	PASS	4 tests ok
all_tests	cargo test --all	PASS	32 passed
clippy	cargo clippy --all-targets -- -D warnings	PASS	only future-incompat note
prove_rm	cargo run --release ... prove ... --out out/a15...	PASS	verdict PASS, real ID
file_sizes	test -s guest.elf image_id receipt	PASS	all size >0
no_placeholder	grep ANUBIS_ID_FRESH_RISC0	PASS	no match
image_id	cat image_id.txt	PASS	real 8x u32
metadata_jq	jq . and -e fields	PASS	all true/false/passed as required
standalone_verify	cargo ... verify-receipt	PASS	"receipt.verify(ANUBIS_ID) PASSED (real RISC0 API path)"
schema	bash scripts/check_evidence_schema.sh	PASS	layout and keys
verify_bundle	bash scripts/verify_bundle.sh	PASS	SUCCESS, verdict PASS
tamper_loop	for 5 sidecars + echo tamper + verify	PASS	all 5 detected (TAMPER + RC=1)
